id,flag,gdr_cd,age,mrg_situ_cd,edu_deg_cd,acdm_deg_cd,deg_cd,job_year,ic_ind,fr_or_sh_ind,dnl_mbl_bnk_ind,dnl_bind_cmb_lif_ind,hav_car_grp_ind,hav_hou_grp_ind,l6mon_agn_ind,frs_agn_dt_cnt,vld_rsk_ases_ind,fin_rsk_ases_grd_cd,confirm_rsk_ases_lvl_typ_cd,cust_inv_rsk_endu_lvl_cd,l6mon_daim_aum_cd,tot_ast_lvl_cd,pot_ast_lvl_cd,bk1_cur_year_mon_avg_agn_amt_cd,l12mon_buy_fin_mng_whl_tms,l12_mon_fnd_buy_whl_tms,l12_mon_insu_buy_whl_tms,l12_mon_gld_buy_whl_tms,loan_act_ind,pl_crd_lmt_cd,ovd_30d_loan_tot_cnt,his_lng_ovd_day,hld_crd_card_grd_cd,crd_card_act_ind,l1y_crd_card_csm_amt_dlm_cd,atdd_type,perm_crd_lmt_cd,cur_debit_cnt,cur_credit_cnt,cur_debit_min_opn_dt_cnt,cur_credit_min_opn_dt_cnt,cur_debit_crd_lvl
U1380979,1,M,24,A,F,G,~,0,0,1,1,1,1,0,0,1167,0,-1,1,1,1,2,4,0,0,0,0,0,0,0,0,0,20,1,5,,7,2,2,1812,1055,20
U1379835,1,M,40,B,K,F,,0,0,0,1,1,1,0,1,1177,0,-1,2,1,1,-1,4,4,0,0,0,0,0,0,0,0,10,1,4,,4,2,1,2061,2392,20
U1324075,1,M,24,A,F,G,~,0,0,0,1,1,0,0,0,553,1,1,1,1,1,-1,4,0,0,0,0,0,0,0,0,0,20,1,4,,5,2,3,622,527,10
U1273741,1,F,34,A,K,F,,0,0,1,1,1,1,0,0,484,0,-1,-1,1,1,2,5,0,0,0,0,0,0,0,0,0,20,0,3,,1,1,2,1075,1089,10
U1268165,1,F,46,B,F,G,~,12,0,0,1,1,1,0,0,-1,1,2,2,1,1,-1,5,0,0,0,0,0,0,0,0,0,10,1,3,,3,1,2,482,482,10
U1259300,1,M,43,B,C,31,~,2,0,0,1,1,0,0,0,-1,1,1,1,1,1,-1,5,0,0,1,0,0,0,0,0,0,10,1,2,0,3,1,1,86,86,10
U1246287,1,M,48,B,C,31,,3,0,0,1,1,1,0,0,-1,0,-1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,20,1,5,0,7,2,2,985,985,10
U1236684,1,F,45,B,K,G,~,25,0,0,1,0,1,0,1,73,1,1,1,1,1,-1,4,2,0,0,0,0,0,0,0,0,10,1,5,0,3,2,1,423,423,10
U1214190,1,M,23,A,F,G,~,16,0,0,1,1,1,0,0,-1,1,2,2,1,1,-1,5,0,0,1,0,0,0,0,0,0,20,1,2,0,1,1,1,314,314,10
U1201646,1,M,28,A,F,G,,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,1,2,6,0,0,0,0,0,1,4,3,105,10,1,5,0,7,4,1,2033,1862,10
U1195812,1,M,33,B,Z,Z,~,0,0,0,1,0,1,0,1,813,0,-1,2,1,1,-1,6,3,0,0,0,0,0,0,0,0,20,1,1,0,1,2,2,873,175,10
U1194204,1,M,30,A,B,30,B,0,1,1,1,1,1,1,0,1176,0,-1,-1,8,3,1,6,0,0,0,0,0,1,6,0,20,20,1,5,0,7,4,1,1893,1892,10
U1167699,1,M,33,B,K,31,,1,0,0,1,1,1,0,1,77,0,-1,-1,1,1,-1,2,3,0,0,0,0,0,0,0,0,10,1,4,0,7,1,1,1449,2769,10
U1146828,1,M,22,A,G,F,~,0,0,0,1,1,0,0,1,1088,1,2,-1,1,1,1,5,3,0,0,0,0,0,0,0,0,10,1,3,0,4,1,2,1112,797,10
U1133757,1,M,38,A,F,G,~,0,0,0,1,1,1,0,0,-1,0,-1,1,1,2,1,3,0,0,0,0,0,1,3,0,16,10,1,5,,5,37,1,924,896,10
U1121679,1,M,38,A,Z,Z,~,0,0,0,1,1,1,0,1,777,1,1,-1,1,1,-1,4,3,0,0,0,0,0,0,0,0,20,1,4,0,6,2,1,801,780,20
U1108827,1,M,40,B,F,G,~,0,0,0,1,1,1,0,0,-1,1,1,1,1,1,-1,5,0,0,0,0,0,0,0,0,0,10,1,3,,3,1,1,682,665,20
U1102563,1,M,28,A,G,F,~,0,0,0,1,1,0,0,0,614,1,2,2,1,1,-1,5,0,0,0,0,0,0,0,0,0,20,1,2,,2,1,1,620,356,10
U1101039,1,M,24,A,F,G,~,0,0,0,1,1,1,0,1,516,1,1,1,1,1,-1,4,2,0,0,0,0,0,0,0,0,20,1,4,,2,1,2,609,461,20
